time,NSW_419016
25/11/2008,110.349
26/11/2008,138.929
27/11/2008,83.51
28/11/2008,52.2
29/11/2008,15401.023
30/11/2008,6617.914
1/12/2008,1619.749
2/12/2008,688.312
3/12/2008,386.639
4/12/2008,259.112
5/12/2008,186.052
6/12/2008,148.051
7/12/2008,125.329
8/12/2008,113.707
9/12/2008,109.429
10/12/2008,95.746
11/12/2008,83.942
12/12/2008,79.805
13/12/2008,111.046
14/12/2008,3783.933
15/12/2008,1466.658
16/12/2008,606.47
17/12/2008,340.675
18/12/2008,220.117
19/12/2008,165.27
20/12/2008,145.903
21/12/2008,123.675
22/12/2008,97.234
23/12/2008,79.837
24/12/2008,71.144
25/12/2008,72.148
26/12/2008,81.322
27/12/2008,72.07
28/12/2008,55.819
29/12/2008,57.554
30/12/2008,83.713
31/12/2008,159.938
1/01/2009,99.019
2/01/2009,64.266
3/01/2009,45.584
4/01/2009,37.181
5/01/2009,33.098
6/01/2009,30.085
7/01/2009,26.993
8/01/2009,24.022
9/01/2009,21.744
10/01/2009,19.442
11/01/2009,18.003
12/01/2009,17.965
13/01/2009,16.365
14/01/2009,14.61
15/01/2009,13.119
16/01/2009,11.781
17/01/2009,9.9
18/01/2009,8.614
19/01/2009,7.668
20/01/2009,7.198
21/01/2009,6.574
22/01/2009,6.548
23/01/2009,9.17
24/01/2009,9.677
25/01/2009,9.172
26/01/2009,14.065
27/01/2009,13.571
28/01/2009,14.058
29/01/2009,12.02
30/01/2009,7.317
31/01/2009,5.426
1/02/2009,4.415
2/02/2009,3.601
3/02/2009,2.743
4/02/2009,2.111
5/02/2009,1.623
6/02/2009,1.286
7/02/2009,0.87
8/02/2009,0.518
9/02/2009,0.281
10/02/2009,0.187
11/02/2009,0.446
12/02/2009,0.225
13/02/2009,0.27
14/02/2009,0.55
15/02/2009,7.274
16/02/2009,12.233
17/02/2009,14.204
18/02/2009,40.267
19/02/2009,47.744
20/02/2009,45.894
21/02/2009,43.492
22/02/2009,30.729
23/02/2009,21.163
24/02/2009,22.244
25/02/2009,18.895
26/02/2009,12.612
27/02/2009,12.649
28/02/2009,12.904
1/03/2009,8.614
2/03/2009,6.145
3/03/2009,5.057
4/03/2009,4.426
5/03/2009,3.922
6/03/2009,3.276
7/03/2009,2.686
8/03/2009,2.118
9/03/2009,1.538
10/03/2009,1.153
11/03/2009,0.853
12/03/2009,0.607
13/03/2009,0.467
14/03/2009,0.353
15/03/2009,0.736
16/03/2009,5.066
17/03/2009,7.7
18/03/2009,16.012
19/03/2009,14.01
20/03/2009,9.876
21/03/2009,7.064
22/03/2009,5.279
23/03/2009,4.153
24/03/2009,3.342
25/03/2009,2.727
26/03/2009,2.111
27/03/2009,1.447
28/03/2009,1.039
29/03/2009,0.68
30/03/2009,0.405
31/03/2009,0.28
1/04/2009,0.25
2/04/2009,0.404
3/04/2009,0.256
4/04/2009,0.181
5/04/2009,0.361
6/04/2009,0.166
10/04/2009,3.396
11/04/2009,2.905
12/04/2009,2.752
13/04/2009,3.414
14/04/2009,11.646
15/04/2009,11.39
16/04/2009,23.037
17/04/2009,28.023
18/04/2009,18.088
19/04/2009,12.389
20/04/2009,8.736
21/04/2009,6.715
22/04/2009,5.43
23/04/2009,4.582
24/04/2009,4.005
25/04/2009,3.663
26/04/2009,3.47
27/04/2009,3.256
28/04/2009,3.154
29/04/2009,3.605
30/04/2009,3.714
1/05/2009,3.442
2/05/2009,3.342
3/05/2009,2.993
4/05/2009,2.672
5/05/2009,2.541
6/05/2009,2.238
7/05/2009,1.932
8/05/2009,1.78
9/05/2009,1.587
10/05/2009,1.407
11/05/2009,1.299
12/05/2009,1.254
13/05/2009,1.077
14/05/2009,0.936
15/05/2009,0.856
16/05/2009,0.783
17/05/2009,0.697
18/05/2009,0.653
19/05/2009,0.591
20/05/2009,0.574
21/05/2009,0.628
22/05/2009,0.618
23/05/2009,0.552
24/05/2009,0.415
25/05/2009,0.381
26/05/2009,9.274
27/05/2009,23.816
28/05/2009,16.799
29/05/2009,11.855
30/05/2009,8.827
31/05/2009,6.899
1/06/2009,5.77
2/06/2009,5.336
3/06/2009,8.881
4/06/2009,9.203
5/06/2009,8.354
6/06/2009,6.963
7/06/2009,6.346
8/06/2009,7.096
9/06/2009,8.951
10/06/2009,10.577
11/06/2009,8.712
12/06/2009,11.228
13/06/2009,11.218
14/06/2009,12.121
15/06/2009,12.37
16/06/2009,9.585
17/06/2009,7.684
18/06/2009,6.773
19/06/2009,6.237
20/06/2009,5.74
21/06/2009,5.231
22/06/2009,5.865
23/06/2009,7.738
24/06/2009,7.945
25/06/2009,24.987
26/06/2009,24.798
27/06/2009,16.917
28/06/2009,14.312
29/06/2009,14.758
30/06/2009,11.246
1/07/2009,9.37
2/07/2009,8.542
3/07/2009,9.664
4/07/2009,9.766
5/07/2009,8.172
6/07/2009,7.17
7/07/2009,6.697
8/07/2009,11.218
9/07/2009,10.134
10/07/2009,8.123
11/07/2009,6.941
12/07/2009,6.244
13/07/2009,5.799
14/07/2009,6.054
15/07/2009,7.105
16/07/2009,11.758
17/07/2009,36.8
18/07/2009,50.154
19/07/2009,43.84
20/07/2009,31.494
21/07/2009,24.06
22/07/2009,18.572
23/07/2009,16.663
